index,302,303,304,305
0,334,358,389,335
1,334,315,370,315
2,292,292,351,292
3,292,292,332,273
4,272,250,289,273
5,250,250,290,250
6,250,250,271,231
7,231,231,270,231
8,208,208,247,186
9,186,186,226,164
10,185,185,206,164
11,164,164,206,144
12,144,144,206,123
13,123,122,184,101
14,101,101,184,80
15,81,81,165,80
16,80,80,122,59
17,60,59,122,40
18,59,59,122,40
19,40,40,121,40
20,40,21,121,59
21,40,40,121,59
22,40,59,120,59
23,59,59,100,79
24,59,59,99,79
25,59,79,79,80
26,59,79,79,80
27,79,80,59,80
